OBJECTID,POPCHANGE,PCTCHANGE,EMPCHANGE,EMPPCTCHANGE,EMPDEN2045,EMPDENCHANGE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
33,19.31071472,20.282785,0.97207028,5.94678513,6.0366404,0.08985527,MoveDC_Pop_Emp_ForecastsPly_302,{B8CFCEFF-4229-4482-94C0-2709052B3F11},,,,,0,0
34,6.42029524,6.80269508,0.38239984,2.5157896,2.5157896,0,MoveDC_Pop_Emp_ForecastsPly_303,{10312E4E-3F38-466D-8524-14EE984DE19A},,,,,0,0
35,44.38544464,65.02659317,20.64114853,10.18110735,18.64211894,8.46101159,MoveDC_Pop_Emp_ForecastsPly_26,{0CC78083-2F63-4128-940B-571EF0DD3A96},,,,,0,0
36,10.76452637,15.01789869,4.25337232,22.8108917,26.5835743,3.7726826,MoveDC_Pop_Emp_ForecastsPly_290,{E32554C3-3DC7-41D1-A107-9FB59DBA4C3E},,,,,0,0
37,7.3661418,7.97802559,0.61188379,0.58834997,0.58834997,0,MoveDC_Pop_Emp_ForecastsPly_331,{D425ECDD-93D2-4322-B8BE-9D63B1128CAD},,,,,0,0
38,30.47292137,37.25052046,6.77759908,6.84064565,9.38355847,2.54291282,MoveDC_Pop_Emp_ForecastsPly_321,{34C99B78-2D1E-47A5-BF7E-2A2F35F15AB4},,,,,0,0
39,50.76915359,81.01817391,30.24902031,19.26208482,61.97974174,42.71765691,MoveDC_Pop_Emp_ForecastsPly_33,{0803DBFD-B531-4409-B95A-7DDA0DEE834C},,,,,0,0
40,12.33709717,15.96411988,3.62702272,2.92249334,3.5330857,0.61059236,MoveDC_Pop_Emp_ForecastsPly_288,{D8E44243-0E2B-4F76-B3A9-D2C4B6CB5605},,,,,0,0
41,14.41550064,16.82268278,2.40718214,4.78677403,6.1248636,1.33808957,MoveDC_Pop_Emp_ForecastsPly_319,{13BCC9B8-4F57-4E0D-860D-55F5CC848784},,,,,0,0
42,28.7050724,32.46228103,3.75720863,2.62562567,3.04996921,0.42434354,MoveDC_Pop_Emp_ForecastsPly_292,{79FD978E-E307-4004-A7A4-E45C0DA63699},,,,,0,0
43,18.83338165,20.38404825,1.5506666,5.79696728,5.79696728,0,MoveDC_Pop_Emp_ForecastsPly_289,{D9AAC741-C7BF-428D-8CF4-480DFA8B8BCA},,,,,0,0
44,13.78366852,22.91742481,9.13375629,1.14294062,3.15041326,2.00747263,MoveDC_Pop_Emp_ForecastsPly_29,{A183D744-CA5B-4529-B13B-4AFFD43813C5},,,,,0,0
45,36.14714432,43.88718989,7.74004557,2.21375001,3.03784672,0.82409672,MoveDC_Pop_Emp_ForecastsPly_27,{87A0B8DD-F773-4104-B91B-69CCAE99E296},,,,,0,0
46,15.99510956,18.99451585,2.9994063,1.22044806,1.22044806,0,MoveDC_Pop_Emp_ForecastsPly_332,{01AF60E8-487F-4ECC-B336-CEA2BE786B95},,,,,0,0
47,11.99289513,38.54090325,26.54800813,17.84939039,22.34941764,4.50002725,MoveDC_Pop_Emp_ForecastsPly_291,{B0FEDDA5-D500-4831-9572-2F3240A592FA},,,,,0,0
48,3.76624107,7.0856401,3.31939903,10.75156973,14.08008792,3.32851819,MoveDC_Pop_Emp_ForecastsPly_296,{EEB874D6-7120-4068-8036-DF6FC85D566E},,,,,0,0
49,9.2853241,9.28532428,1.8e-07,1.31766377,1.31766377,0,MoveDC_Pop_Emp_ForecastsPly_344,{05483532-2533-4E2E-8431-F7F0FEAF5716},,,,,0,0
50,3.98042464,4.33780026,0.35737562,1.33091599,1.33091599,0,MoveDC_Pop_Emp_ForecastsPly_300,{ADA5D1D9-CC2B-4894-9B73-6355F4742DB6},,,,,0,0
51,18.11226082,18.43425727,0.32199645,0.48299364,2.0124735,1.52947986,MoveDC_Pop_Emp_ForecastsPly_334,{7AB86260-E2CC-4F31-84F6-8B0147704EB7},,,,,0,0
52,27.98134804,30.42152965,2.44018161,2.86183072,2.86183072,0,MoveDC_Pop_Emp_ForecastsPly_301,{777A4904-0101-4C68-95CD-5C11E5C1EB19},,,,,0,0
53,16.63072586,17.88324814,1.25252228,5.4894536,5.79098697,0.30153337,MoveDC_Pop_Emp_ForecastsPly_335,{2E9E739D-A88C-49ED-8B33-9C9942ABB469},,,,,0,0
54,8.65131283,8.65131289,6e-08,1.85825883,1.85825883,0,MoveDC_Pop_Emp_ForecastsPly_297,{F0BB547F-FF96-40AE-9857-81B323DA191E},,,,,0,0
55,37.66805649,47.58344647,9.91538998,2.56679599,2.56679599,0,MoveDC_Pop_Emp_ForecastsPly_314,{F9BF2D56-3FF9-4032-AEC2-85272AC58B07},,,,,0,0
56,37.59205246,46.99490031,9.40284785,2.06050098,3.20199918,1.1414982,MoveDC_Pop_Emp_ForecastsPly_316,{B9EA0E14-5059-4DD4-9204-A1ECEDAD1440},,,,,0,0
57,17.06441879,20.22950992,3.16509113,4.94545405,6.13236302,1.18690897,MoveDC_Pop_Emp_ForecastsPly_317,{8C8CF008-5474-47B0-AAEC-F7D9146A438A},,,,,0,0
58,23.5984478,28.37287619,4.77442839,2.85857488,4.3030675,1.44449262,MoveDC_Pop_Emp_ForecastsPly_315,{51016454-B833-4D91-A7D9-8D44A15BAD7D},,,,,0,0
59,22.43761063,26.48493918,4.04732855,14.8565102,14.90542053,0.04891032,MoveDC_Pop_Emp_ForecastsPly_318,{C620143D-36A2-4BD4-A440-FFBACEB83308},,,,,0,0
60,7.38426208,7.51433694,0.13007486,2.6715419,3.04175557,0.37021367,MoveDC_Pop_Emp_ForecastsPly_7,{48FD0F70-08D5-4C43-856E-44FE931FBC05},,,,,0,0
61,0.93066663,0.93066664,2e-08,21.17436444,21.17436444,0,MoveDC_Pop_Emp_ForecastsPly_286,{762B8FF0-2624-4224-86E5-136BBA3CE96B},,,,,0,0
62,14.07540321,14.86793752,0.7925343,7.2173428,7.2173428,0,MoveDC_Pop_Emp_ForecastsPly_287,{842EF506-776B-44F2-9CD1-106C5A72E06C},,,,,0,0
63,18.02829361,20.24780576,2.21951215,4.40761439,4.43902257,0.03140818,MoveDC_Pop_Emp_ForecastsPly_20,{EAE5E291-C8F7-4B65-A225-EE89E0D64589},,,,,0,0
64,9.43616009,14.96361838,5.5274583,23.84703299,25.9790525,2.13201951,MoveDC_Pop_Emp_ForecastsPly_18,{7022EB99-1F19-4AAB-814C-BFF39C808840},,,,,0,0
65,19.7891655,21.56203127,1.77286577,12.31070133,12.91211623,0.60141489,MoveDC_Pop_Emp_ForecastsPly_231,{41A5129E-3875-4C1F-AB58-7A8869B60C6F},,,,,0,0
66,6.35252666,6.35252653,-1.4e-07,5.063486,5.063486,0,MoveDC_Pop_Emp_ForecastsPly_345,{B5DEC8E3-BEC4-4664-AEDF-00949DCCA061},,,,,0,0
67,34.12812424,40.6066256,6.47850136,2.11367539,4.38200996,2.26833457,MoveDC_Pop_Emp_ForecastsPly_28,{54EC2D47-F9D4-451A-ADFF-6970AA3A5051},,,,,0,0
68,12.74071312,13.78734379,1.04663067,1.73096579,1.73096579,0,MoveDC_Pop_Emp_ForecastsPly_343,{A6856489-3909-4A9F-B5E6-6E0263103D10},,,,,0,0
